pooled chromatin,,,,pooled nuclei,,
ID,symbol,log2 fold enrichment,,ID,symbol,log2 fold enrichment
ENSG00000111786,SRSF9,7.62,,ENSG00000122406,RPL5,3.70
ENSG00000138385,SSB,7.61,,ENSG00000089009,RPL6,3.91
ENSG00000165209,STRBP,4.32,,ENSG00000161016,RPL8,5.25
ENSG00000105705,SUGP1,1.58,,ENSG00000101413,RPRD1B,4.25
ENSG00000064607,SUGP2,6.36,,ENSG00000124614,RPS10,2.46
ENSG00000196235,SUPT5H,3.00,,ENSG00000164587,RPS14,4.39
ENSG00000109111,SUPT6H,2.58,,ENSG00000235650,RPS18,2.00
ENSG00000261306,SURF6,3.17,,ENSG00000197728,RPS26,3.32
ENSG00000135316,SYNCRIP,7.52,,ENSG00000149273,RPS3,3.91
ENSG00000131018,SYNE1,6.04,,ENSG00000142937,RPS8,1.81
ENSG00000054654,SYNE2,1.58,,ENSG00000156990,RPUSD3,2.32
ENSG00000172660,TAF15,4.00,,ENSG00000160214,RRP1,3.00
ENSG00000120948,TARDBP,8.74,,ENSG00000052749,RRP12,4.39
ENSG00000054118,THRAP3,7.39,,ENSG00000160208,RRP1B,4.58
ENSG00000116001,TIA1,7.44,,ENSG00000124541,RRP36,4.09
ENSG00000151923,TIAL1,7.65,,ENSG00000132275,RRP8,2.81
ENSG00000164548,TRA2A,5.00,,ENSG00000179041,RRS1,4.64
ENSG00000136527,TRA2B,6.55,,ENSG00000171490,RSL1D1,5.04
ENSG00000160201,U2AF1,3.81,,ENSG00000100220,RTCB,2.32
ENSG00000063244,U2AF2,8.46,,ENSG00000163220,S100A9,2.58
ENSG00000163714,U2SURP,3.32,,ENSG00000160633,SAFB,3.78
ENSG00000142207,URB1,3.91,,ENSG00000130254,SAFB2,3.29
ENSG00000106346,USP42,1.58,,ENSG00000205323,SARNP,3.32
ENSG00000156697,UTP14A,5.55,,ENSG00000142864,SERBP1,6.04
ENSG00000164338,UTP15,4.46,,ENSG00000168066,SF1,5.36
ENSG00000120800,UTP20,2.32,,ENSG00000183431,SF3A3,4.46
ENSG00000136709,WDR33,3.70,,ENSG00000115524,SF3B1,5.09
ENSG00000226916,WDR46,3.91,,ENSG00000263977,SF3B4,6.07
ENSG00000115368,WDR75,4.32,,ENSG00000116560,SFPQ,9.23
ENSG00000079246,XRCC5,5.43,,ENSG00000039123,SKIV2L2,2.00
ENSG00000196419,XRCC6,6.07,,ENSG00000119705,SLIRP,5.91
ENSG00000088930,XRN2,4.17,,ENSG00000137776,SLTM,5.91
ENSG00000065978,YBX1,5.93,,ENSG00000197157,SND1,7.35
ENSG00000060138,YBX3,1.58,,ENSG00000143977,SNRPG,3.46
ENSG00000119596,YLPM1,3.70,,ENSG00000100603,SNW1,2.00
ENSG00000083896,YTHDC1,2.00,,ENSG00000065526,SPEN,5.76
ENSG00000058673,ZC3H11A,5.98,,ENSG00000153914,SREK1,1.58
ENSG00000100722,ZC3H14,4.91,,ENSG00000087087,SRRT,3.32
ENSG00000158545,ZC3H18,2.81,,ENSG00000136450,SRSF1,5.15
ENSG00000130749,ZC3H4,2.32,,ENSG00000215699,SRSF10,5.93
ENSG00000144161,ZC3H8,3.91,,ENSG00000116754,SRSF11,2.32
ENSG00000033030,ZCCHC8,3.91,,ENSG00000161547,SRSF2,9.00
ENSG00000056097,ZFR,5.17,,ENSG00000112081,SRSF3,3.88
ENSG00000162664,ZNF326,6.34,,ENSG00000116350,SRSF4,2.87
ENSG00000075292,ZNF638,3.17,,ENSG00000100650,SRSF5,6.97
,,,,ENSG00000124193,SRSF6,2.67
,,,,ENSG00000115875,SRSF7,4.31
,,,,ENSG00000111786,SRSF9,5.48
,,,,ENSG00000138385,SSB,3.57
,,,,ENSG00000040341,STAU2,3.17
,,,,ENSG00000165209,STRBP,4.25
,,,,ENSG00000105705,SUGP1,3.32
,,,,ENSG00000064607,SUGP2,6.79
,,,,ENSG00000116030,SUMO1,3.00
,,,,ENSG00000188612,SUMO2,3.58
,,,,ENSG00000196235,SUPT5H,3.32
,,,,ENSG00000109111,SUPT6H,3.32
,,,,ENSG00000156502,SUPV3L1,3.00
,,,,ENSG00000261306,SURF6,2.00
,,,,ENSG00000135316,SYNCRIP,4.80
,,,,ENSG00000131018,SYNE1,6.11
,,,,ENSG00000172660,TAF15,4.00
,,,,ENSG00000120948,TARDBP,8.69
,,,,ENSG00000136270,TBRG4,3.70
,,,,ENSG00000054118,THRAP3,3.47
,,,,ENSG00000116001,TIA1,7.39
,,,,ENSG00000151923,TIAL1,8.37
,,,,ENSG00000164548,TRA2A,4.81
,,,,ENSG00000136527,TRA2B,3.66
,,,,ENSG00000174173,TRMT10C,2.00
,,,,ENSG00000099899,TRMT2A,1.58
,,,,ENSG00000180098,TRNAU1AP,2.58
,,,,ENSG00000160201,U2AF1,3.58
,,,,ENSG00000063244,U2AF2,8.11
,,,,ENSG00000163714,U2SURP,4.75
,,,,ENSG00000137073,UBAP2,2.00
,,,,ENSG00000143569,UBAP2L,3.70
,,,,ENSG00000142207,URB1,3.70
,,,,ENSG00000103194,USP10,1.58
,,,,ENSG00000106346,USP42,1.58
,,,,ENSG00000156697,UTP14A,5.75
,,,,ENSG00000164338,UTP15,3.17
,,,,ENSG00000011260,UTP18,2.00
,,,,ENSG00000120800,UTP20,3.46
,,,,ENSG00000136709,WDR33,4.17
,,,,ENSG00000226916,WDR46,4.32
,,,,ENSG00000115368,WDR75,3.17
,,,,ENSG00000196419,XRCC6,2.49
,,,,ENSG00000088930,XRN2,4.09
,,,,ENSG00000065978,YBX1,8.23
,,,,ENSG00000060138,YBX3,6.25
,,,,ENSG00000119596,YLPM1,4.39
,,,,ENSG00000083896,YTHDC1,3.70
,,,,ENSG00000198492,YTHDF2,2.81
,,,,ENSG00000058673,ZC3H11A,4.94
,,,,ENSG00000100722,ZC3H14,5.39
,,,,ENSG00000158545,ZC3H18,3.00
,,,,ENSG00000130749,ZC3H4,4.39
,,,,ENSG00000122299,ZC3H7A,2.00
,,,,ENSG00000144161,ZC3H8,3.70
,,,,ENSG00000105939,ZC3HAV1,6.55
,,,,ENSG00000177764,ZCCHC3,1.58
,,,,ENSG00000033030,ZCCHC8,4.25
,,,,ENSG00000139168,ZCRB1,2.32
,,,,ENSG00000056097,ZFR,3.91
,,,,ENSG00000103994,ZNF106,1.58
,,,,ENSG00000162664,ZNF326,6.64
,,,,ENSG00000161642,ZNF385A,2.00
,,,,ENSG00000075292,ZNF638,4.09
